id,url,text,rating,time_created,user
qAol0P5vsL021XhUvGW8EQ,https://www.yelp.com/biz/cofismo-el-paso?adjust_creative=Ad7k7mINO2TA7iL0CPp8sg&hrid=qAol0P5vsL021XhUvGW8EQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=Ad7k7mINO2TA7iL0CPp8sg,"Great little shop inside of a dying mall.     I hope this place gets the traffic it deserves.     Great staff.   Great coffee.  Great ambience.   


Go get...",5,2022-01-01 05:45:05,"{'id': 'ga7X3Mwxrgg4FtgpiEViNw', 'profile_url': 'https://www.yelp.com/user_details?userid=ga7X3Mwxrgg4FtgpiEViNw', 'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/gUr2AC1-bKhS6UxuD0HBFA/o.jpg', 'name': 'Franklin H.'}"
57mh3V6cnoq2eUXwfX0WSQ,https://www.yelp.com/biz/cofismo-el-paso?adjust_creative=Ad7k7mINO2TA7iL0CPp8sg&hrid=57mh3V6cnoq2eUXwfX0WSQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=Ad7k7mINO2TA7iL0CPp8sg,Cute place! I went to Sunland Park Mall recently and decided to come and check it out. I didn't want coffee so I tried the Cinnismo smoothie. It includes...,4,2021-11-03 04:50:40,"{'id': '2vYEopEQ2AfwyYnbmB9faQ', 'profile_url': 'https://www.yelp.com/user_details?userid=2vYEopEQ2AfwyYnbmB9faQ', 'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/w0GOxRE_A-FGuUXV7q-xAw/o.jpg', 'name': 'Lisa A.'}"
w2c_FvvGe4oYQIwURiqRvw,https://www.yelp.com/biz/cofismo-el-paso?adjust_creative=Ad7k7mINO2TA7iL0CPp8sg&hrid=w2c_FvvGe4oYQIwURiqRvw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=Ad7k7mINO2TA7iL0CPp8sg,Love the vibe here! It is inside the Sunland Park mall.  The barista was so kind and explained the menu. I ordered the Americano with stevia and my husband...,5,2021-07-17 21:55:25,"{'id': 'Av4J06QLgGkSLUZ7U5K8yg', 'profile_url': 'https://www.yelp.com/user_details?userid=Av4J06QLgGkSLUZ7U5K8yg', 'image_url': 'https://s3-media4.fl.yelpcdn.com/photo/yzdQOBUhNNSC-Nqk-3aNfg/o.jpg', 'name': 'Heather O.'}"
